Date,Predicted_Load_MWh
2025-06-03 19:00:00,637.5866705188026
2025-06-03 20:00:00,637.3479125195834
2025-06-03 21:00:00,642.6836989520049
2025-06-03 22:00:00,644.3739253814736
2025-06-03 23:00:00,653.4226591789754
2025-06-04 00:00:00,675.2658283416266
2025-06-04 01:00:00,687.3258511910657
2025-06-04 02:00:00,687.7844682873708
2025-06-04 03:00:00,679.001871492343
2025-06-04 04:00:00,653.4000005236711
2025-06-04 05:00:00,622.9941288793389
2025-06-04 06:00:00,596.7168231996187
2025-06-04 07:00:00,588.7806817901562
2025-06-04 08:00:00,589.4915062042352
2025-06-04 09:00:00,589.6075763892985
2025-06-04 10:00:00,594.7330523042649
2025-06-04 11:00:00,609.3572537274525
2025-06-04 12:00:00,639.6428881665764
2025-06-04 13:00:00,664.6128516243538
